datetime,CDD,CWD,Prcp1,SDII,,,year,month
1980-01-31,9.0,1.0,12.903225806451612,8.7,1980,Jan,1980,Jan
1980-02-29,15.0,3.0,24.137931034482758,3.4499999999999997,1980,Feb,1980,Feb
1980-03-31,6.0,4.0,35.483870967741936,6.773636363636363,1980,Mar,1980,Mar
1980-04-30,9.0,2.0,33.33333333333333,10.816999999999998,1980,Apr,1980,Apr
1980-05-31,11.0,2.0,19.35483870967742,7.765,1980,May,1980,May
1980-06-30,5.0,1.0,23.333333333333332,6.105714285714285,1980,Jun,1980,Jun
1980-07-31,3.0,4.0,51.61290322580645,11.695625,1980,Jul,1980,Jul
1980-08-31,9.0,2.0,32.25806451612903,6.843000000000001,1980,Aug,1980,Aug
1980-09-30,6.0,4.0,46.666666666666664,10.275000000000002,1980,Sep,1980,Sep
1980-10-31,5.0,3.0,35.483870967741936,6.340000000000001,1980,Oct,1980,Oct
1980-11-30,9.0,6.0,36.666666666666664,7.739090909090908,1980,Nov,1980,Nov
1980-12-31,4.0,5.0,48.38709677419355,6.344666666666665,1980,Dec,1980,Dec
1981-01-31,7.0,3.0,32.25806451612903,2.922,1981,Jan,1981,Jan
1981-02-28,7.0,2.0,39.285714285714285,10.740000000000002,1981,Feb,1981,Feb
1981-03-31,6.0,3.0,35.483870967741936,3.8027272727272727,1981,Mar,1981,Mar
1981-04-30,4.0,3.0,40.0,6.142500000000001,1981,Apr,1981,Apr
1981-05-31,5.0,4.0,38.70967741935484,7.5441666666666665,1981,May,1981,May
1981-06-30,3.0,2.0,43.333333333333336,8.433846153846154,1981,Jun,1981,Jun
1981-07-31,5.0,2.0,32.25806451612903,8.812000000000001,1981,Jul,1981,Jul
1981-08-31,5.0,3.0,35.483870967741936,13.373636363636367,1981,Aug,1981,Aug
1981-09-30,11.0,3.0,36.666666666666664,7.226363636363636,1981,Sep,1981,Sep
1981-10-31,10.0,3.0,32.25806451612903,10.419999999999998,1981,Oct,1981,Oct
1981-11-30,5.0,2.0,30.0,10.337777777777779,1981,Nov,1981,Nov
1981-12-31,5.0,3.0,38.70967741935484,6.161666666666666,1981,Dec,1981,Dec
1982-01-31,6.0,4.0,38.70967741935484,7.2925,1982,Jan,1982,Jan
1982-02-28,9.0,4.0,25.0,6.078571428571428,1982,Feb,1982,Feb
1982-03-31,7.0,4.0,45.16129032258064,7.962142857142857,1982,Mar,1982,Mar
1982-04-30,9.0,2.0,20.0,6.883333333333334,1982,Apr,1982,Apr
1982-05-31,7.0,2.0,19.35483870967742,2.5450000000000004,1982,May,1982,May
1982-06-30,5.0,3.0,43.333333333333336,6.142307692307693,1982,Jun,1982,Jun
1982-07-31,5.0,2.0,29.03225806451613,7.181111111111111,1982,Jul,1982,Jul
1982-08-31,7.0,2.0,30.0,11.533333333333335,1982,Aug,1982,Aug
1982-09-30,7.0,3.0,30.0,10.673333333333334,1982,Sep,1982,Sep
1982-10-31,11.0,2.0,19.35483870967742,4.3999999999999995,1982,Oct,1982,Oct
1982-11-30,8.0,4.0,40.0,9.396363636363638,1982,Nov,1982,Nov
1982-12-31,4.0,4.0,48.38709677419355,5.095333333333333,1982,Dec,1982,Dec
1983-01-31,5.0,3.0,35.483870967741936,6.380909090909091,1983,Jan,1983,Jan
1983-02-28,6.0,3.0,32.142857142857146,8.581111111111111,1983,Feb,1983,Feb
1983-03-31,7.0,4.0,32.25806451612903,6.0600000000000005,1983,Mar,1983,Mar
1983-04-30,3.0,3.0,46.666666666666664,11.262142857142859,1983,Apr,1983,Apr
1983-05-31,4.0,4.0,48.38709677419355,9.366666666666667,1983,May,1983,May
1983-06-30,6.0,3.0,33.33333333333333,4.048,1983,Jun,1983,Jun
1983-07-31,4.0,3.0,35.483870967741936,6.177272727272726,1983,Jul,1983,Jul
1983-08-31,9.0,2.0,19.35483870967742,5.606666666666666,1983,Aug,1983,Aug
1983-09-30,8.0,3.0,20.0,13.000000000000002,1983,Sep,1983,Sep
1983-10-31,8.0,3.0,25.806451612903224,10.7525,1983,Oct,1983,Oct
1983-11-30,4.0,4.0,50.0,14.125333333333332,1983,Nov,1983,Nov
1983-12-31,3.0,3.0,45.16129032258064,12.936428571428573,1983,Dec,1983,Dec
1984-01-31,4.0,3.0,45.16129032258064,3.237142857142857,1984,Jan,1984,Jan
1984-02-29,5.0,2.0,34.48275862068966,7.971000000000001,1984,Feb,1984,Feb
1984-03-31,9.0,2.0,29.03225806451613,4.771111111111111,1984,Mar,1984,Mar
1984-04-30,6.0,4.0,33.33333333333333,7.868,1984,Apr,1984,Apr
1984-05-31,7.0,2.0,35.483870967741936,10.954545454545453,1984,May,1984,May
1984-06-30,15.0,2.0,13.793103448275861,11.555,1984,Jun,1984,Jun
1984-07-31,7.0,2.0,19.35483870967742,10.01,1984,Jul,1984,Jul
1984-08-31,5.0,2.0,32.25806451612903,11.575999999999999,1984,Aug,1984,Aug
1984-09-30,9.0,2.0,20.0,4.723333333333334,1984,Sep,1984,Sep
1984-10-31,10.0,3.0,22.58064516129032,7.127142857142857,1984,Oct,1984,Oct
1984-11-30,5.0,4.0,36.666666666666664,8.223636363636365,1984,Nov,1984,Nov
1984-12-31,3.0,5.0,51.61290322580645,7.64375,1984,Dec,1984,Dec
1985-01-31,5.0,3.0,41.935483870967744,4.980769230769232,1985,Jan,1985,Jan
1985-02-28,4.0,3.0,46.42857142857143,5.866153846153848,1985,Feb,1985,Feb
1985-03-31,9.0,2.0,32.25806451612903,11.524000000000001,1985,Mar,1985,Mar
1985-04-30,7.0,3.0,36.666666666666664,5.683636363636364,1985,Apr,1985,Apr
1985-05-31,5.0,4.0,32.25806451612903,4.191,1985,May,1985,May
1985-06-30,4.0,4.0,43.333333333333336,7.571538461538462,1985,Jun,1985,Jun
1985-07-31,10.0,2.0,32.25806451612903,6.946,1985,Jul,1985,Jul
1985-08-31,7.0,3.0,22.58064516129032,11.425714285714287,1985,Aug,1985,Aug
1985-09-30,13.0,4.0,26.666666666666668,9.19625,1985,Sep,1985,Sep
1985-10-31,6.0,2.0,41.935483870967744,6.762307692307692,1985,Oct,1985,Oct
1985-11-30,6.0,6.0,46.666666666666664,5.6957142857142875,1985,Nov,1985,Nov
1985-12-31,4.0,5.0,54.83870967741935,5.000000000000001,1985,Dec,1985,Dec
1986-01-31,6.0,4.0,41.935483870967744,9.582307692307692,1986,Jan,1986,Jan
1986-02-28,6.0,2.0,35.714285714285715,5.09,1986,Feb,1986,Feb
1986-03-31,6.0,4.0,38.70967741935484,6.02,1986,Mar,1986,Mar
1986-04-30,9.0,4.0,26.666666666666668,6.348749999999999,1986,Apr,1986,Apr
1986-05-31,7.0,6.0,48.38709677419355,5.652666666666667,1986,May,1986,May
1986-06-30,6.0,3.0,36.666666666666664,10.850909090909092,1986,Jun,1986,Jun
1986-07-31,8.0,2.0,19.35483870967742,16.01,1986,Jul,1986,Jul
1986-08-31,5.0,5.0,45.16129032258064,9.691428571428572,1986,Aug,1986,Aug
1986-09-30,6.0,3.0,26.666666666666668,14.89625,1986,Sep,1986,Sep
1986-10-31,11.0,5.0,41.935483870967744,4.524615384615385,1986,Oct,1986,Oct
1986-11-30,4.0,2.0,43.333333333333336,6.281538461538462,1986,Nov,1986,Nov
1986-12-31,8.0,2.0,22.58064516129032,14.934285714285712,1986,Dec,1986,Dec
1987-01-31,6.0,3.0,29.03225806451613,9.60666666666667,1987,Jan,1987,Jan
1987-02-28,16.0,4.0,25.0,6.6257142857142854,1987,Feb,1987,Feb
1987-03-31,12.0,3.0,32.25806451612903,5.715999999999999,1987,Mar,1987,Mar
1987-04-30,15.0,4.0,30.0,4.295555555555556,1987,Apr,1987,Apr
1987-05-31,6.0,2.0,32.25806451612903,5.559,1987,May,1987,May
1987-06-30,9.0,4.0,34.48275862068966,6.945,1987,Jun,1987,Jun
1987-07-31,8.0,1.0,20.0,12.645000000000001,1987,Jul,1987,Jul
